"UID","mapped","unmapped"
"SC12-034MESOD30.219.5.22","syn2252738","syn2252740"
"SC12-036.182.2.20","syn2252755","syn2252757"
"SC12-036DE.219.1.3","syn2252772","syn2252774"
"SC12-036EB.219.1.21","syn2252789","syn2252791"
"SC12-036ECTO.219.1.5","syn2252806","syn2252808"
"SC12-036MESO.219.1.8","syn2252823","syn2252825"
"SC12-036MESOD15.219.5.20","syn2252840","syn2252842"
"SC12-036MESOD30.219.5.23","syn2252857","syn2252859"
"SC12-037.182.1.12","syn2252874","syn2252876"
"SC12-037DE.219.2.5","syn2252891","syn2252893"
"SC12-037EB.219.2.22","syn2252908","syn2252910"
"SC12-037ECTO.219.1.6","syn2251391","syn2252927"
"SC12-037MESO.219.1.9","syn2251345","syn2251347"
"SC12-037MESOD15.219.5.21","syn2251299","syn2251301"
"SC12-037MESOD30.219.5.25","syn2251258","syn2251262"
"SC12-039.219.6.21","syn2251210","syn2251216"
"SC12-041-fibroblast.165.5.14","syn2251181","syn2251183"
"SC12-041-HMVEC.165.5.15","syn2253027","syn2253029"
"SC12-041-iEC30a.165.5.16","syn2253044","syn2253046"
"SC12-041-iEC30b.165.5.18","syn2253061","syn2253063"
"SC12-042-GMP-132.172.6.4","syn2253078","syn2253080"
"SC12-042-GMP-78.172.6.19","syn2253095","syn2253097"
"SC12-042-HSC-132.172.6.2","syn2253112","syn2253114"
"SC12-042-HSC-78.172.6.16","syn2253129","syn2253131"
"SC12-042-MEG-132.172.6.5","syn2253146","syn2253148"
"SC12-042-MEG-78.172.6.1","syn2253163","syn2253165"
"SC12-042-MEP-132.172.6.3","syn2253180","syn2253182"
"SC12-042-MEP-78.172.6.18","syn2253197","syn2253199"
"SC13-044.219.2.9","syn2253214","syn2253216"
"SC13-044DE.219.5.27","syn2253231","syn2253233"
"SC13-044EB.219.6.10","syn2253248","syn2253250"
"SC13-044ECTO.219.5.1","syn2253265","syn2253267"
"SC13-044MESO.219.5.3","syn2253282","syn2253284"
"SC13-045.219.5.10","syn2253299","syn2253301"
"SC13-045DE.219.5.4","syn2253316","syn2253318"
"SC13-045EB.219.6.11","syn2253333","syn2253335"
"SC13-045ECTO.219.5.5","syn2253350","syn2253352"
"SC13-045MESO.219.6.9","syn2256507","syn2256509"
"SC13-046-32EPOMEP.182.1.1","syn2256524","syn2256526"
"SC13-046-32RBC.182.1.21","syn2256541","syn2256543"
"SC13-046-78EPOMEP.182.1.2","syn2256558","syn2260040"
"SC13-046-78RBC.182.1.3","syn2252134","syn2252138"
"SC13-047-CME-1.182.2.13","syn2252160","syn2252164"
"SC13-047-CME-2.182.3.19","syn2252194","syn2252196"
"SC13-047-HCM-1.182.2.15","syn2252228","syn2252230"
"SC13-047-HCM-2.182.6.7","syn2252262","syn2252264"
"SC13-047-HPMEC-1.182.2.16","syn2252296","syn2252298"
"SC13-047-PME-1.182.2.14","syn2252327","syn2252332"
"SC13-047-PME-2.182.3.18","syn2252357","syn2252363"
"SC13-048-BE-1.182.3.13","syn2252394","syn2252400"
"SC13-048-BE-2.182.3.14","syn2252427","syn2252433"
"SC13-048-BE-3.182.6.6","syn2252461","syn2252465"
"SC13-048-BE-4.182.6.13","syn2253559","syn2253561"
"SC13-048-BSM-1.182.3.21","syn2253576","syn2253578"
"SC13-048-BSM-2.182.6.5","syn2253593","syn2253595"
"SC13-048-LF-1.182.3.20","syn2256701","syn2256703"
"SC13-048-LF-2.182.6.12","syn2251431","syn2251433"
"SC13-048-SAE-2.182.3.12","syn2251649","syn2251662"
"SC13-049.219.2.8","syn2251792","syn2251801"
"SC13-049EB.219.6.20","syn2251921","syn2251929"
"SC13-049ECTO.219.6.7","syn2251962","syn2251964"
"SC13-057BJFibroblast.219.6.25","syn2252015","syn2252021"
"SC13-057iECScramble.219.6.22","syn2252049","syn2252054"
"SC13-057iECTLR3KD.219.6.23","syn2252081","syn2252085"
